Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
A cell continuously releases newly synthesized extracellular-matrix components without storing them in granules. What form of secretion best fits?,Phagocytosis,Constitutive secretion,Regulated secretion,Primary active transport,2,,"The textbook describes constitutive secretion as continuous exocytosis, including release of components such as extracellular-matrix proteins."
A pancreatic cell stores digestive enzymes and releases them only after a signal. What type of secretion is this?,Osmosis,Constitutive diffusion,Antiport,Regulated secretion,4,,The textbook uses pancreatic digestive-enzyme release as an example of regulated secretion.
"A cell is actively transcribing genes and has a pale, extended chromatin pattern. Which chromatin form predominates?",Euchromatin,Residual bodies,Heterochromatin,Cardiolipin,1,,The slides describe euchromatin as extended and transcriptionally active.
A nuclear region appears highly condensed and transcriptionally inactive. Which term applies?,Glycocalyx,Caveola,Heterochromatin,Euchromatin,3,,The slides define heterochromatin as condensed and inactive.
Which organelles or structures are directly involved in the secretory pathway for a protein destined outside the cell? Select all that apply.,Rough ER,Golgi apparatus,Centriole,Secretory vesicle,"1,2,4",,"Secreted proteins are synthesized into the RER, processed in the Golgi, and carried in secretory vesicles for exocytosis."
Which features distinguish mitochondria from peroxisomes in the uploaded material? Select all that apply.,Mitochondria contain cristae,Peroxisomes contain a mitochondrial inner membrane with ATP synthase,Mitochondria have two membranes,Peroxisomes are strongly associated with H2O2 metabolism,"1,3,4",,Mitochondria are double-membrane ATP-producing organelles with cristae; peroxisomes are single-membrane oxidative organelles prominent in peroxide and VLCFA metabolism.
Which source-supported statements about protein degradation are correct? Select all that apply.,Lysosomes digest material in an acidic membrane-bound compartment,Proteasomes degrade selected proteins in a non-membranous complex,Ubiquitin can tag proteins for proteasomal degradation,COPII is the principal protease of the proteasome,"1,2,3",,The sources distinguish lysosomal bulk/intracellular digestion from ubiquitin-directed proteasomal protein degradation.
A newborn develops yellowish discoloration of the skin because bilirubin is not being converted efficiently into an excretable form. Which organelle is most directly implicated?,Smooth endoplasmic reticulum in hepatocytes,Golgi apparatus in neurons,Mitochondrial cristae in cardiac muscle,Rough endoplasmic reticulum in osteoblasts,1,,"The textbook states that neonatal jaundice can result from underdeveloped smooth ER in liver cells, causing inadequate bilirubin processing."
A patient presents with yellowish skin caused by accumulation of bilirubin. Which normal cellular process is emphasized in the provided material?,Very-long-chain fatty-acid oxidation in peroxisomes,Mannose-6-phosphate formation in the Golgi,Bilirubin metabolism by smooth ER enzymes in liver cells,Protein degradation by proteasomes,3,,The source connects jaundice with bilirubin accumulation and normal bilirubin metabolism by smooth ER enzymes in hepatocytes.
"A patient has blue sclera, multiple fractures, hearing loss, and opalescent teeth. Which disorder shown in the slide figure best matches this presentation?",I-cell disease,Osteogenesis imperfecta,Chediak-Higashi syndrome,MERRF,2,,"The osteogenesis imperfecta slide figure labels blue sclera, multiple fractures, hearing loss, and opalescent teeth."
A patient with multiple fractures and blue sclera has a disorder linked in the slides to defective procollagen synthesis and secretion. Which cellular system is implicated?,Clathrin-mediated endocytosis,Smooth ER bilirubin metabolism,Peroxisomal beta-oxidation,Rough ER and ER-associated degradation,4,,The slides connect osteogenesis imperfecta with defective procollagen and dysfunction involving the rough ER and ERAD.
Which findings are explicitly shown in the osteogenesis imperfecta slide figure? Select all that apply.,Severe neurologic symptoms from myelin disruption,Blue sclera,Multiple fractures,Hearing loss,"2,3,4",,"The slide figure labels blue sclera, multiple fractures, hearing loss, and opalescent teeth for osteogenesis imperfecta."
"A 39-year-old man has progressive uncoordination, years of depression and apathy, dysarthria, saccadic eye movements, hyperactive gag reflex, and increased extremity tone. Imaging shows striatal and caudate atrophy with boxcar ventricles. Which disorder is described?",Huntington disease,Tay-Sachs disease,MERRF,Chediak-Higashi syndrome,1,,These clinical and imaging findings are given in the textbook Huntington disease assessment vignette.
Which imaging finding is explicitly given in the textbook vignette of Huntington disease?,Multiple long-bone fractures,Diffuse hepatic iron deposition,Striatal and caudate atrophy with boxcar ventricles,Loss of myelin sheaths from VLCFA accumulation,3,,The textbook vignette states that MRI and CT show striatal and caudate atrophy with boxcar ventricles.
A patient with the Huntington disease presentation in the textbook has one allele with 49 CAG repeats. Which cellular issue is additionally linked to this disease in the assessment question?,Failure of bilirubin conjugation in smooth ER,Mitochondrial membrane-potential and bioenergetic failure,Defective mannose-6-phosphate tagging,Defective peroxisomal VLCFA import,2,,"The textbook assessment links Huntington disease with modulation of respiration, mitochondrial membrane potential, and bioenergetic failure."
"In the textbook Huntington disease question, which mitochondrial process is keyed as the mechanism used to establish the electrochemical gradient that may be altered?",Transport of ATP out of the matrix as the gradient-generating step,Transfer of electrons from NADH to oxygen in the intermembrane space,Pumping protons into the matrix by the respiratory chain,Proton-translocating activity in the inner mitochondrial membrane,4,,The textbook answer key identifies proton-translocating activity in the inner membrane.
"A 14-year-old boy develops blisters easily with rubbing or scratching, especially on his hands and feet, and the lesions heal without scars. Which diagnosis is given in the textbook vignette?",Epidermolysis bullosa simplex,Zellweger syndrome,Chediak-Higashi syndrome,Osteogenesis imperfecta,1,,The textbook assessment vignette describes epidermolysis bullosa simplex with friction-induced blistering of the hands and feet that heals without scarring.
A boy with friction-induced blisters of the hands and feet has KRT5 and KRT14 mutations. Which normal cellular function is most directly impaired?,ATP synthesis by mitochondria,Bilirubin metabolism by smooth ER,Mechanical stability from keratin intermediate filaments,Intracellular digestion by lysosomes,3,,The textbook vignette uses KRT5/KRT14 mutations to test the mechanical-stability role of keratin intermediate filaments.
Which features are explicitly stated in the textbook epidermolysis bullosa simplex vignette? Select all that apply.,Yellowish discoloration from bilirubin,Blisters mainly on the hands and feet,Healing without scars,Blisters with rubbing or scratching,"2,3,4",,All three skin findings are stated in the EBS assessment vignette.
An infant has accumulation of very-long-chain fatty acids that disrupts myelin and produces severe neurologic symptoms. Which disorder is described in the textbook?,I-cell disease,Neonatal adrenoleukodystrophy,MERRF,Gaucher disease,2,,The textbook states that neonatal adrenoleukodystrophy causes VLCFA accumulation that can disrupt myelin and cause severe neurologic symptoms.
A patient with severe neurologic symptoms from disrupted myelin has defective transport of very-long-chain fatty acids into which organelle?,Lysosome,Golgi apparatus,Nucleolus,Peroxisome,4,,Neonatal adrenoleukodystrophy is linked to a defective peroxisomal membrane protein needed for VLCFA transport into peroxisomes.
A patient has myoclonic epilepsy with ragged-red fibers and a mitochondrial lysine-tRNA mutation. Which diagnosis best fits?,MERRF,I-cell disease,Zellweger syndrome,Hurler syndrome,1,,MERRF stands for myoclonic epilepsy with ragged-red fibers and is linked to a mitochondrial lysine-tRNA mutation.
A disease presenting with myoclonic epilepsy and ragged-red muscle fibers is transmitted through mitochondrial DNA. Which inheritance clue is emphasized in the slides?,Paternal mitochondrial inheritance,Y-linked inheritance,Maternal inheritance,Autosomal dominant inheritance,3,,The slides state that mitochondrial DNA is inherited from the mother.
A patient has an autosomal recessive immunodeficiency in which leukocytes show delayed fusion of phagosomes with lysosomes. Which syndrome is this?,Gaucher disease,Chediak-Higashi syndrome,MERRF,Osteogenesis imperfecta,2,,The Chediak-Higashi slide describes autosomal recessive immunodeficiency with delayed phagosome-lysosome fusion in leukocytes.
An immunodeficiency is caused by defective intracellular transport and delayed phagosome-lysosome fusion. Which cytoskeletal process is abnormal?,Keratin filament assembly,Actin treadmilling only,Nuclear lamin formation,Microtubule polymerization,4,,The slide links Chediak-Higashi syndrome to defective microtubule polymerization.
A 42-year-old woman has two Pap smears showing dysplastic epithelial cells and testing detects high-risk HPV E6 and E7. E6 promotes degradation of p53. Which mechanism is emphasized in the slide?,Prevention of apoptosis,Permanent cell-cycle arrest,Activation of peroxisomal beta-oxidation,Inhibition of telomerase expression,1,,The slide question identifies prevention of apoptosis as the mechanism by which E6-mediated p53 degradation promotes cervical cancer.
"In the high-risk HPV cervical-cancer vignette, which cellular protein is directly targeted for degradation by E6?",Bcl-2,Catalase,p53,GFAP,3,,The slide states that E6 binds the p53 tumor suppressor and causes it to be degraded.
A patient has extreme iron accumulation in cellular hemosiderin with damage to the liver and other tissues. Which condition is named in the textbook?,I-cell disease,Hemochromatosis or iron overload syndrome,Hemosiderosis without tissue injury,MERRF,2,,The textbook states that extreme hemosiderin iron accumulation can lead to hemochromatosis or iron overload syndrome with tissue damage.
"Widespread hemosiderin is found in cells throughout the body, but the source specifically states that the condition itself does not damage cell or organ function. What is this called?",Gaucher disease,Hemochromatosis,Zellweger syndrome,Hemosiderosis,4,,The textbook distinguishes hemosiderosis from more extreme iron-overload states that damage tissues.
Which factors are stated as possible settings for widespread hemosiderosis? Select all that apply.,Impaired iron utilization,Increased dietary iron uptake,Defective mitochondrial lysine-tRNA,Excessive lysis of red blood cells,"1,2,4",,"The textbook lists increased dietary iron, impaired iron utilization, and excessive red-cell lysis as settings associated with hemosiderosis."
"A brain tumor is evaluated by immunocytochemistry, and GFAP expression is used to establish its astrocytic origin. Which tumor is specifically cited?",Astrocytoma,Hepatocellular carcinoma,Cervical carcinoma,Osteosarcoma,1,,The textbook cites GFAP immunocytochemistry as useful for identifying astrocytomas.
"A patient's gland produces parathyroid hormone normally, but target cells fail to respond because the receptor is nonfunctional. Which condition is used as the textbook example?",I-cell disease,Chediak-Higashi syndrome,Pseudohypoparathyroidism,MERRF,3,,The textbook gives pseudohypoparathyroidism as an example of disease caused by a nonfunctioning parathyroid-hormone receptor.
"Growth hormone is produced, but target cells cannot respond because its receptor is nonfunctional. Which type of clinical condition is cited in the textbook?",Gaucher disease,One type of dwarfism,Hemosiderosis,Jaundice,2,,The textbook cites one type of dwarfism as an example of growth-hormone receptor failure.
A lysosomal-targeting disorder affects the skeleton and nervous system and results from defective formation of mannose-6-phosphate. Which diagnosis matches the source?,Neonatal adrenoleukodystrophy,Gaucher disease,MERRF,I-cell disease,4,,"The source table lists skeleton and nervous-system involvement in I-cell disease, while the slides identify defective M6P formation."
A lysosomal storage disorder involves alpha-L-iduronidase deficiency and the source table lists the skeleton and nervous system as major affected systems. Which disease is this?,Hurler syndrome,Gaucher disease,Tay-Sachs disease,McArdle syndrome,1,,The source table pairs Hurler syndrome with alpha-L-iduronidase deficiency and skeleton/nervous-system involvement.
A lysosomal storage disorder involves glucocerebrosidase deficiency and the source table lists the liver and spleen as the main affected organs. Which diagnosis is this?,Tay-Sachs disease,Hurler syndrome,Gaucher disease,MERRF,3,,The source table pairs Gaucher disease with glucocerebrosidase deficiency and liver/spleen involvement.
A lysosomal storage disorder in the source table primarily affects the nervous system and is associated with GM2-gangliosidase deficiency. Which diagnosis is this?,Gaucher disease,Tay-Sachs disease,Chediak-Higashi syndrome,Hurler syndrome,2,,The source table identifies Tay-Sachs disease with GM2-gangliosidase deficiency and nervous-system involvement.
Which disease-presentation or organ-involvement pairings are explicitly supported by the provided materials? Select all that apply.,Jaundice — yellowish skin discoloration,I-cell disease — yellowish skin discoloration,Neonatal adrenoleukodystrophy — severe neurologic symptoms from myelin disruption,Epidermolysis bullosa simplex — friction-induced blistering of hands and feet,"1,3,4",,"Each correct pairing is explicitly stated in the slides or textbook; yellow skin discoloration is linked to jaundice, not I-cell disease."
